Nom,Ville,Quartier,Type d'activité,Description,lieux/site,Commentaire
MOSS,Tokyo,Taishido,Restaurant,Speakeasy Izakaya style amerique du sud (mais copnnu pour les wagyu) (utiliser le distibuteur auto),https://goo.gl/maps/jLShLnCk1gaqULH56,
igu＆peace,Tokyo,Dogenzaka,Bar,Speakeasy bar chic-vintage (résoudre l'escape room),https://g.page/igu-peace-shibuya?share,
Akashiya,Nara,Minamishincho,Magasin,plus grande manufacture de pinceau japonnais (possibilité de faire les dernières étape),https://goo.gl/maps/oGCmmjNfaTPDP3HHA,
Kappou Yoshiba,Tokyo,Sumida,Restaurant,Restaurant dans une ancienne écurie de sumo tenu par un ancien lutteur (le dohyou est conservé),https://goo.gl/maps/GPEoJKrSnsTgNTATA,
Tōdai-ji,Nara,Zoshicho,Temple,Temple du 8ème siècle qui abrite le plus grand bouddha de bronze du japon,https://goo.gl/maps/BzvD4rrTFisAspbN8,
Parc de Nara,Nara,Zoshicho,Parc,Parc de nara avec les biches en total liberté et de multiple temple,https://goo.gl/maps/TGDcQnrvGZz7KB9P6,Juste incr
Palais Heijō,Nara,Nijoojiminami,Autre,Palais impérial du 8ème siècle,https://goo.gl/maps/3MAXqQ9sYg3utt6f7,
Tōshōdai-ji,Nara,Gojocho,Temple,Temple classé trésor national,https://goo.gl/maps/oQFvKWfn3Gk7gaXD9,
Gango-ji,Nara,Chuincho,Temple,un des plus vieux temple du japon classé patrimoine mondiale (près du parc de nara) (payant),https://goo.gl/maps/SJJUrkSuRfjsNciY6,
Tabi-ji,Nara,Taruicho,Magasin,Magasin de tabi (chaussure tradi moderniser),https://goo.gl/maps/XVHEqi7c4s3gTjb56,Chaussure très agréable à porté
Nakatanidou,Nara,Taruicho,Magasin,"Magasin de mochi artisanal (les meilleurs que j'ai jamais mangé de ma vie, ma vie pour ces mochi)",https://goo.gl/maps/cqFi4ynxbDP7NLoV6,
Nara Izumi Yūsai,Nara,Nishiterabayashicho,Bar,Bar de dégustation de saké,https://goo.gl/maps/ERgbK5kDMF1zRngZ6,
Uguisuno-taki falls,Nara,Nara parc,Autre,Cascade au fond du parc de nara (p'tite rando),https://goo.gl/maps/nRuhDhvBdpnrZmZP6,
Pop Life Department M's,Tokyo,Chiyoda,Magasin,Sexshop sur 7 étages,https://goo.gl/maps/m1xYmGEAaVoByhqT9,
Osaka Takoyaki Museum,Osaka,Konohana,Restaurant,Concentration de multiple magasin de takoyaki,https://goo.gl/maps/PrYfDhtsRMAipzgNA,
Dotombori Kukuru,Osaka,Chuo-city,Restaurant,Restaurant légendaire dans la commu des fan de takoyaki (demander le secret Kuro-tako),https://goo.gl/maps/NRm1NPJFiRsTXA597,
Kogaryu Takoyaki,Osaka,Chuo-citu,Restaurant,Restaurant légendaire dans la commu des fan de takoyaki connu pour le takosen,https://goo.gl/maps/W8gw83AErR4fwVQTA,
Hana no Mai Hatago Chaya Ikedaya| Seafood pub,Kyoto,Nakagyo-Ku,Restaurant,Lieux d'une bataille légendaire du shinsengumi reconverti en resteau de poisson (option végé existe),https://g.page/hananomai-ikedaya?share,
Asakusa Kagetsudō,Tokyo,Asakusa,Restaurant,Meilleur restaurant de melon pan d'asakusa,https://goo.gl/maps/cFPGHrKg61b7XpMV8,
Takahashi,Tokyo,Sumida,Magasin,Magasin merch sumo,https://goo.gl/maps/7e35gAAfYzuoCSEM8,
Nishiki Market,Kyoto,Nakagyo,Autre,Marché street food,https://goo.gl/maps/WAHE7Q5jjaEhZBJWA,
Old kimono shop,Nara,Taruicho,Magasin,Fripperie de kimono/yukata,https://maps.app.goo.gl/qRapnujV4d7UeaXL6,"Rapport qualité prix de fou, vendeuse de bon conseille"
Harajuku Chicago Kyoto Store,Kyoto,Nakagyo,Magasin,Chaine fripperie de kimono/yukata et autre,https://maps.app.goo.gl/AQMcW8qCLoGnvZHP6,"Chaine de frippe présent Tokyo et Kyoto, duty free possible"
Harajuku Chicago Shimokitazawa,Tokyo,Harajuku,Magasin,Chaine fripperie de kimono/yukata et autre,https://maps.app.goo.gl/E2ftDimeFQ5nRUH36,"Chaine de frippe présent Tokyo et Kyoto, duty free possible"
Yamadaruma,Kyoto,Shimogyo,Restaurant,Petit yakiniku,https://maps.app.goo.gl/Yrcu5o1ErwpYNqKy7,Un des meilleurs yakiniku de kyoto
MINT IKEBUKURO,Tokyo,Ikebukuro,Magasin,TCG sport,https://maps.app.goo.gl/vGvGtU83mn4HgAu49,
